code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
00002,동화약품,12.82,19.61,5.54,22.29,5335256.06,409648123.72,127025936.49,1,1,1,1,1,0,AG2,
00004,KR모터스,-24.97,40.77,-12.52,-4.5,1706256.09,63047699.13,65895002.59,0,1,1,0,1,2,AG2,
00005,경방,23.47,15.84,2.56,38.16,10141516.74,827626071.42,201532168.74,1,1,1,1,1,0,AG2,
00007,삼양홀딩스,3.48,25.27,5.49,-11.26,18064872.86,2763746769.85,1351562576.9,0,1,1,0,1,2,AG2,
00008,하이트진로,15.52,31.12,3.29,17.59,13599870.19,1152600587.97,1041481320.4,1,1,1,1,1,0,AG2,
00010,유한양행,5.3,10.94,2.01,74.91,5221559.25,2340244976.59,358413365.75,1,1,1,1,1,0,AG2,
00012,CJ대한통운,2.87,39.95,3.73,22.55,72406618.56,4470185440.06,4365527419.82,0,1,1,1,1,1,AG2,
00014,하이트진로홀딩스,15.53,42.5,5.18,9.3,19883672.24,1145293908.55,1689433603.4,1,1,1,0,1,1,AG2,
00015,두산,10.83,30.47,5.41,11.02,781893000,13317377000,10592944000,1,1,1,1,1,0,AG2,
00018,성창기업지주,0.39,5.31,160.54,-31.03,476881.45,675609345.68,45408544.73,0,1,0,0,1,3,AG3,score
0001A,덕양에너젠,7.35,26.49,,,506988.98,110125667.21,45295581.99,1,1,,,1,,AG3,재무정보 미제공
00021,DL,18.54,46.44,7.07,6.85,155240733.59,5035824987.85,5803303598.09,1,1,1,0,1,1,AG2,
00022,유유제약,15.98,12.65,1.68,47.83,1658691.9,142557277.04,26214294.54,1,1,1,1,1,0,AG2,
00023,일동홀딩스,10.65,25.17,4.54,18.71,2315285.09,347825014.63,199634615.88,1,1,1,1,1,0,AG2,
00024,한국앤컴퍼니,34.31,2.22,0.22,182.48,3814792.73,4967176823.9,123352028.8,1,1,1,1,1,0,AG2,
00025,삼천당제약,13.32,8.5,1.95,59.4,994344.52,394474447.54,48723935.68,1,1,1,1,1,0,AG2,
00027,기아,10.19,2.53,0.23,324.66,163954000,61638039000,2662491000,1,1,1,1,1,0,AG2,
00030,DH오토넥스,3.65,17.78,2.11,62.84,663604.87,31896751.26,9299812.21,0,1,1,1,1,1,AG2,
00032,노루홀딩스,7.8,11.41,1.61,63.76,3823974.03,815899406.05,148677382.22,1,1,1,1,1,0,AG2,
00037,한화손해보험,7.72,5.49,2.08,46.01,,2901537030,1097206364,1,1,1,1,,,AG3,재무정보 미제공
00039,SP삼화,4.23,24.07,5.95,15.69,1650153.06,338106094.94,153860163.68,0,1,1,1,1,1,AG2,
00040,롯데손해보험,-2.21,5.82,13.36,7.12,,704713000,806842000,0,1,0,0,,,AG3,재무정보 미제공
00043,대원강업,9.46,21.52,3,35.3,3219793,757787089,331161168,1,1,1,1,1,0,AG2,
00044,중앙에너비스,0.9,0.92,-1.41,33.45,5130.88,50288133.06,503755,0,1,1,1,1,1,AG2,
00048,CR홀딩스,8.38,34.27,9.41,1.74,7646762,824921849,544569071,1,1,1,0,1,1,AG2,
00049,대동,5.48,45.34,11.11,3.31,35037201.35,651118935.32,1074242652.44,1,1,0,0,1,2,AG2,
0004V,엔비알모션,-8.14,35.07,,,561507.94,32486536.21,27148767.12,0,1,,,1,,AG3,재무정보 미제공
00050,가온전선,4.38,40.27,4.71,20.92,12026277,501086268,610333652,0,1,1,1,1,1,AG2,
00052,삼일제약,-9.35,44.59,-10.45,-16.7,2556691.58,128555934.14,166026080.05,0,1,1,0,1,2,AG2,
00054,흥국화재,0.51,2.67,4.59,16.43,,917062000,319005000,0,1,1,1,,,AG3,재무정보 미제공
00059,CS홀딩스,16.58,0.28,0.06,2102,676533.45,402540528.42,1185165.1,1,1,1,1,1,0,AG2,
00064,동아쏘시오홀딩스,5.45,31.42,3.43,26.64,7123597.12,1180615037.99,664900548.94,1,1,1,1,1,0,AG2,
00065,천일고속,-9.1,34.65,-6.47,-16.09,209757.33,7705515.75,18163601.56,0,1,1,0,1,2,AG2,
00066,SK하이닉스,78.63,9.8,0.24,374.35,3023483000,164379799000,21832416000,1,1,1,1,1,0,AG2,
00067,영풍,7.47,9.58,-2.45,22.54,220608762,4108054253.06,625636484.07,1,1,1,1,1,0,AG2,
00068,LS네트웍스,2.94,35.21,107.2,0.15,7514292.46,1286688499.41,5409521449.37,0,1,0,0,1,3,AG3,score
00070,유수홀딩스,11.54,3.64,0.3,263.88,2505903.16,412726321.13,18323527.85,1,1,1,1,1,0,AG2,
00072,현대건설,3.77,14.89,4.63,20.78,50548000,11028599000,4230826000,0,1,1,1,1,1,AG2,
00076,이화산업,10.48,8.83,19.11,-3.02,228435.77,205701132.11,23900000,1,1,0,0,1,2,AG2,
0007C,아크릴,-7.03,14.61,,,85836.39,43163341.94,7858437.78,0,1,,,1,,AG3,재무정보 미제공
0007J,인벤테라,,0.54,,,2405.41,31599562.02,175923.47,,1,,,1,,AG3,재무정보 미제공
00081,삼성화재,13.87,0.31,0.11,722.75,,24181031448.25,315611247,1,1,1,1,,,AG3,재무정보 미제공
00085,화천기공,5.88,5.98,2.06,66.83,111015.05,342320585.64,26287375.85,1,1,1,1,1,0,AG2,
00086,강남제비스코,0.59,13.32,3.26,24.75,696999.38,705572456.28,132725706.89,0,1,1,1,1,1,AG2,
00088,한화,8.95,22.98,9.54,8.18,466196000,50821182000,67756239000,1,1,1,0,1,1,AG2,
00089,보해양조,12.1,24.97,3.5,29.94,381984.01,90823256.8,36841260.07,1,1,1,1,1,0,AG2,
0008Z,에스엔시스,12.06,3.08,0.38,218.88,1246033.55,170371535.4,7229607.83,1,1,1,1,1,0,AG2,
00091,유니온,1.85,39.36,12.2,21.88,1620530.24,158267898.34,149557587.57,0,1,0,1,1,2,AG2,
00095,전방,-7.36,0.04,-0.02,266.01,1985.79,227198229.87,91441.2,0,1,1,1,1,1,AG2,
00097,한국주철관,4.63,0.63,0.16,707.27,2497156.04,359432588.78,2743785,0,1,1,1,1,1,AG2,
00099,DB하이텍,28.23,10.69,0.84,155.36,19290729.89,2364218945.78,325839002.03,1,1,1,1,1,0,AG2,
0009K,에임드바이오,-41.49,0.89,,,1239270.52,191900962.22,1773099.23,0,1,,,1,,AG3,재무정보 미제공
00100,신라섬유,39.09,47.28,25.02,1.23,154268.34,14583618.18,14600000,1,1,0,0,1,2,AG2,
00102,페이퍼코리아,6.77,34.18,19.24,-3.66,3575024.59,263076314.66,159773601.58,1,1,0,0,1,2,AG2,
00104,CJ,12.47,40.89,3.06,19.71,400270862,17171498941,19784799769,1,1,1,1,1,0,AG2,
00106,JW중외제약,19.29,8.71,0.43,135.43,1808492.22,381779288.56,54124639.15,1,1,1,1,1,0,AG2,
00107,대한방직,2.78,17.9,14.59,4.88,490767.83,155759958.33,41359307.02,0,1,0,0,1,3,AG3,score
00108,만호제강,3.98,11,-18.69,16.35,4790190.09,357832234.54,50018630.01,0,1,1,1,1,1,AG2,
0010F,보원케미칼,13.9,45.93,,,425535,33337486,36782784,1,1,,,1,,AG3,재무정보 미제공
0010V,제이피아이헬스케어,8.24,13.8,2.1,48.68,426758.99,63350588.05,11424330.11,1,1,1,1,1,0,AG2,
00112,LX인터내셔널,5.25,32.32,4.4,19.15,149000730.86,3639833120.4,3161860871.13,1,1,1,1,1,0,AG2,
00113,대한제분,5,18.96,3.12,3.21,3772108.13,1012460438.82,289044857,1,1,1,0,1,1,AG2,
0011A,액스비스,10.17,30.19,,,435506.99,55348362.83,29324115.05,1,1,,,1,,AG3,재무정보 미제공
0011T,채비,-27.63,50.65,,,1886553.77,57910783.18,95809274.7,0,0,,,1,,AG3,재무정보 미제공
00120,유진투자증권,6.82,10.09,13.78,6.83,116252,1167642543.02,1263200384,1,1,0,0,1,2,AG2,
00121,금호전기,1.68,15.27,-9.69,-38.89,122971.61,13307476.18,4591618.75,0,1,1,0,1,2,AG2,
00123,동국홀딩스,2.29,11.58,4.58,16.84,4272422.05,1975902638.43,323617048.43,0,1,1,1,1,1,AG2,
00125,GS글로벌,1.74,33.73,6.91,8.17,5399420,580511025,520165332,0,1,1,0,1,2,AG2,
00126,남광토건,3.27,8.13,2.68,18.04,365606.54,128544858.12,34882357.73,0,1,1,1,1,1,AG2,
00127,부국증권,3.38,12.76,3.84,21.4,,819234743.8,918835659,0,1,1,1,,,AG3,재무정보 미제공
00129,상상인증권,14.31,11.81,-230.14,1.16,,200714627.93,216690353,1,1,1,0,,,AG3,재무정보 미제공
00136,삼성제약,-19.32,10.35,-1.27,-136.54,828070.23,129812388.74,18145963.35,0,1,1,0,1,2,AG2,
00138,SG글로벌,14.86,11.95,2.24,32.92,386544.41,155211203,24181879.29,1,1,1,1,1,0,AG2,
00139,KG케미칼,2.7,24.33,4.2,24.42,51809591.36,3976634989.11,2138986631.52,0,1,1,1,1,1,AG2,
0013V,삼진식품,15.01,29.09,3.08,,227451.62,44625829.25,23103652,1,1,1,,1,,AG3,재무정보 미제공
00142,태원물산,-18.41,0,-0.02,-15087.37,,39714642.64,14070,0,1,1,0,,,AG3,재무정보 미제공
00143,세아베스틸지주,6.45,31.3,5.74,15.49,24047809.99,1952591499.44,1253053874.14,1,1,1,1,1,0,AG2,
00144,대한전선,6.58,30.84,5.52,18.66,77835058.25,1615256548.77,1081785468.44,1,1,1,1,1,0,AG2,
00145,현대해상,7.54,6.73,2.34,33.34,,5592870745.6,3329584699,1,1,1,1,,,AG3,재무정보 미제공
00147,삼부토건,-6.03,36.53,23.19,-75.51,865232.5,-143680118.15,63320001.01,0,1,0,0,1,3,AG3,score
00150,현대차증권,4.58,26.48,32.89,2.81,,1438009000,3366959000,0,1,0,0,,,AG3,재무정보 미제공
00151,SK증권,4.75,17.36,48.04,3.93,,628237294.37,1347606249,0,1,0,0,,,AG3,재무정보 미제공
00152,동양,-3.06,39.2,-177.22,7.38,27367287.44,764311202.28,570100409.03,0,1,1,0,1,2,AG2,
00153,DI동일,3.33,39.74,20.38,2.89,7222320.52,522520282.65,435774877.39,0,1,0,0,1,3,AG3,score
00154,안국약품,18.58,23.93,2.7,32.27,850963.54,170808831.37,78058482,1,1,1,1,1,0,AG2,
00155,조비,11.96,38.62,6.38,12.15,877174.95,58384464.59,54588323.72,1,1,1,1,1,0,AG2,
00156,제일연마,10.72,0,,113656.09,468538.26,107092658.16,,1,1,,1,1,,AG3,재무정보 미제공
00157,금양,-14.61,26.03,-13.86,-14.97,12268444.42,447481361.54,318078448.04,0,1,1,0,1,2,AG2,
0015G,그린광학,5.12,19.4,5.34,,223742.22,64527228.71,20149826.33,1,1,1,,1,,AG3,재무정보 미제공
0015N,아로마티카,12.31,7.45,,,48186.33,43831342.75,3962380.44,1,1,,,1,,AG3,재무정보 미제공
0015S,페스카로,11.65,1.02,0.51,,6892.46,62242587.21,693428.42,1,1,1,,1,,AG3,재무정보 미제공
00162,케이비아이동국실업,5.5,26.39,3.42,34.39,2318327.93,286030554.41,242111979.99,1,1,1,1,1,0,AG2,
00163,종근당홀딩스,12.69,33.81,5.29,19.28,7135896.21,923720408.52,567562130.68,1,1,1,1,1,0,AG2,
00168,대상,8.95,42.24,4.23,-9.48,21699170.65,1116085792.99,1569055735.75,1,1,1,0,1,1,AG2,
00172,신영증권,5.78,10.65,7.4,,,1996481013.17,1359808709,1,1,1,,,,AG3,재무정보 미제공
00174,SK네트웍스,4.14,32.04,7.49,10.8,27884000,2137964000,1849231000,0,1,1,1,1,1,AG2,
00175,한양증권,5.19,12.77,3.41,21.61,,647781440.38,945628951,1,1,1,1,,,AG3,재무정보 미제공
00177,SHD,0.36,16.41,5.27,16.21,77048.22,55183696.05,14520000,0,1,1,1,1,1,AG2,
00178,알루코,15.48,49.13,5.01,15.21,11151759.23,427269898.26,499867015.75,1,1,1,1,1,0,AG2,
