code_info,code_fn,sector,name,bond_date,bond_TF,bond_rating,bond_pos,bond_neu,bond_neg,cp_date,cp_TF,cp_rating,corp_date,corp_TF,corp_rating,corp_pos,corp_neu,corp_neg
09557,,N76320,AJ네트웍스,2026-06-10 00:00:00,T,BBB+,0,2,0,2026-06-10 00:00:00,T,A3+,,,,0,0,0
10356,,K64919,BMW파이낸셜서비스,,,,0,0,0,,,,2026-06-09 00:00:00,T,AA-,0,1,0
13893,,K64992,BNK금융지주,2026-06-24 00:00:00,T,AAA,0,3,0,,,,2026-04-17 00:00:00,T,AAA,0,2,0
15399,,K66121,BNK투자증권,2026-07-13 00:00:00,T,A+,0,3,0,2026-06-26 00:00:00,T,A1,2026-06-25 00:00:00,T,A+,0,3,0
00104,,K64992,CJ,2026-06-30 00:00:00,T,AA-,0,3,0,2026-06-30 00:00:00,T,A1,,,,0,0,0
07916,,J59141,CJ CGV,2026-07-01 00:00:00,T,A-,0,3,0,2026-07-02 00:00:00,T,A2-,,,,0,0,0
03576,,J60200,CJ ENM,2026-06-10 00:00:00,T,AA-,0,3,0,2026-06-09 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
00012,,H49300,CJ대한통운,2026-05-18 00:00:00,T,AA-,0,3,0,2026-05-18 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
09795,,C10720,CJ제일제당,2026-04-17 00:00:00,T,AA,0,3,0,2026-04-17 00:00:00,T,A1,,,,0,0,0
05150,,G46320,CJ프레시웨이,2026-04-02 00:00:00,T,A,0,3,0,2026-06-29 00:00:00,T,A2,,,,0,0,0
01661,,K66121,DB증권,2026-07-14 00:00:00,T,A+,0,2,0,2026-06-08 00:00:00,T,A1,2026-06-08 00:00:00,T,A+,0,3,0
29012,,C30399,DH오토리드,2026-06-22 00:00:00,F,BB-,1,2,0,,,,,,,0,0,0
02544,,C26500,DH오토웨어,2026-05-14 00:00:00,T,BB,0,0,1,,,,,,,0,0,0
00021,,C20111,DL,2025-05-28 00:00:00,,,0,0,0,,,,2026-06-30 00:00:00,T,AA-,0,2,0
00188,,F41100,DL건설,2025-08-25 00:00:00,T,A-,0,1,0,2026-06-29 00:00:00,T,A2-,2026-07-01 00:00:00,T,A-,0,2,0
22003,,M71531,DL에너지,2026-06-12 00:00:00,T,A+,0,2,0,,,,,,,0,0,0
37550,,F41200,DL이앤씨,2026-06-26 00:00:00,T,AA-,0,3,0,2026-07-01 00:00:00,T,A1,,,,0,0,0
01794,,G46713,E1,2026-04-30 00:00:00,T,A+,0,2,0,2026-04-30 00:00:00,T,A1,2025-01-16 00:00:00,,,0,0,0
36555,,L68100,ESR켄달스퀘어리츠,,,,0,0,0,,,,2025-12-08 00:00:00,T,A-,0,1,0
07893,,K64992,GS,2026-06-19 00:00:00,T,AA,0,2,0,2026-06-19 00:00:00,T,A1,,,,0,0,0
00125,,G46800,GS글로벌,2026-06-29 00:00:00,T,A,0,2,0,,,,,,,0,0,0
00707,,G47122,GS리테일,2026-06-30 00:00:00,T,AA,0,3,0,2025-12-26 00:00:00,T,A1,,,,0,0,0
